file date time magnification species mating_type replicate sampling_cnt indiv_per_frame indiv_per_volume bioarea_per_frame bioarea_per_volume major_mean major_sd minor_mean minor_sd gross_speed_mean gross_speed_sd net_speed_mean net_speed_sd sd_turning_mean time_diff
sample_0022 2018-03-30 9 2 Tet IV 4 6 383.42 12.3683870967742 733715.8339 23668.2527064516 59.6809501852435 9.0414024288614 38.7272185728453 5.83743530509059 347.570723501259 100.401664703221 195.907094878254 126.167854195217 0.628639798488665 96
sample_0023 2018-03-30 9 2 Tet IV 5 6 343.52 11.0812903225806 666811.98378 21510.0639929032 60.021348111581 9.60159520692133 39.0125161971481 6.39410707340949 353.102225931915 108.772402096949 208.437828467153 137.149435495193 0.627983576642336 96
sample_0024 2018-03-30 9 2 Tet IV 6 6 359.406666666667 11.5937634408602 662774.268914 21379.8151262581 58.272958781328 9.16825373093429 37.3881292279131 6.5108550241717 352.038473630077 104.34239448315 198.67732428115 136.348014442731 0.683115015974441 96
sample_0025 2018-03-30 9 2 Tet V 1 6 353.5 11.4032258064516 783759.859626 25282.5761169677 64.6470604090532 9.94534895830012 41.2511430375229 6.67107435557292 325.440159101689 76.2593000386507 169.762459605027 106.055569289092 0.784784560143627 96
sample_0026 2018-03-30 9 2 Tet V 2 6 294.86 9.51161290322581 622396.926812 20077.3202197419 62.1528943893897 9.63472696685499 40.591141780315 6.53073549704006 328.145133076316 75.3745990511526 172.073956989247 106.945210221295 0.79605376344086 96
sample_0027 2018-03-30 9 2 Tet V 3 6 339.34 10.9464516129032 751075.963786667 24228.2568963441 63.7240113503125 9.16161917917468 41.8608253778456 6.49305465936958 350.205227664627 77.0101816207744 179.697142857143 110.147710664049 0.77734693877551 96
sample_0028 2018-03-30 9 2 Tet V 4 6 373.693333333333 12.054623655914 806471.175558667 26015.1992115699 63.3920943665877 9.14198791528611 41.1056065299259 6.06020370919676 333.224597689951 74.4710190929985 171.562033158813 106.134895981226 0.786352530541012 96
sample_0029 2018-03-30 9 2 Tet V 5 6 455.806666666667 14.7034408602151 947253.878473333 30556.5767249462 61.9511303513082 9.27787413873254 40.3623261961423 6.52110020397943 326.823699130711 75.5814984784762 172.002421981004 109.022573311908 0.781933514246947 96
sample_0030 2018-03-30 9 2 Tet V 6 6 353.546666666667 11.4047311827957 724301.269682667 23364.5570865376 61.2437295668792 9.18588524448364 40.0894705480354 6.63451919512926 323.589596540555 74.8809256657265 162.490018298262 102.662941709992 0.804501372369625 96
sample_0031 2018-03-30 9 2 Tet VI 1 6 305.546666666667 9.85634408602151 554186.118059333 17876.9715503011 58.6636989444372 9.51444180763212 37.0288997731747 6.30101155621331 330.123210192096 91.8578350818267 166.32130738523 115.954718690533 0.788053892215569 96
sample_0032 2018-03-30 9 2 Tet VI 2 6 342.746666666667 11.0563440860215 628210.955083333 20264.8695188172 59.1046428724291 9.42764606721597 37.2712624224775 6.08441777010827 326.710719726295 93.5495135853767 165.646650943396 110.321009712372 0.768452830188679 96
sample_0033 2018-03-30 9 2 Tet VI 3 6 390.613333333333 12.6004301075269 738268.426889333 23815.1105448172 59.6988659540292 9.49946460916314 38.3347946969765 6.19703135653349 341.011843514111 91.044214279452 168.86658436214 112.76505638182 0.764962962962963 96
sample_0034 2018-03-30 9 2 Tet VI 4 6 288.56 9.30838709677419 516484.659143333 16660.7954562366 57.758981283306 11.5657457683376 37.1891360222229 6.71872469853712 323.567261918555 95.3566297214208 158.246244343891 110.730952850989 0.786561085972851 96
sample_0035 2018-03-30 9 2 Tet VI 5 6 373.366666666667 12.0440860215054 689550.703996 22243.5710966452 59.2549661693353 10.1299610160401 37.1112205045234 6.71158775712073 317.553628601599 92.4198473698209 153.590604203152 106.383454476721 0.818791593695271 96
sample_0036 2018-03-30 9 2 Tet VI 6 6 424.806666666667 13.7034408602151 728899.643945333 23512.891740172 57.1487836646886 8.11600126904173 36.5784964650919 5.42885515932084 319.159407863368 86.8438471164686 153.258202802968 104.564556378167 0.777345424567189 96
sample_0037 2018-03-30 9 2 Tet VII 1 6 443.253333333333 14.2984946236559 733488.732992 23660.9268707097 56.2349341549912 8.05235760317018 35.9013368888227 5.88872846758611 374.232957992486 139.955682250822 246.12105156038 161.882398704636 0.606227951153324 96
sample_0038 2018-03-30 9 2 Tet VII 2 6 366.433333333333 11.8204301075269 592563.914688 19114.9649899355 54.9891380987214 8.30279512885732 35.7388713207356 5.78043017689754 379.431284443799 139.927093421079 253.485012386457 163.679599695336 0.587167630057803 96
sample_0039 2018-03-30 9 2 Tet VII 3 6 396.146666666667 12.7789247311828 649901.219659333 20964.5554728817 56.1601916473384 8.5021675672918 35.6622936714582 5.95911140970268 350.173737903685 143.644832503595 232.989172633254 164.169423843028 0.594860779634049 96
sample_0040 2018-03-30 9 2 Tet VII 4 6 431.373333333333 13.9152688172043 703096.480046 22680.5316143871 55.3305349099432 8.41169539653525 35.7181081293392 5.90751523604492 360.414407279073 141.420630757035 240.959373259053 166.278123886968 0.602903899721448 96
sample_0041 2018-03-30 9 2 Tet VII 5 6 358.573333333333 11.5668817204301 608826.970512 19639.5796939355 56.6240165057396 8.15447354039263 36.2633650138259 5.98448285450789 375.218597096837 137.301552108526 249.652632464256 165.711863276358 0.598889823380992 96
sample_0042 2018-03-30 9 2 Tet VII 6 6 455.893333333333 14.7062365591398 713458.781102 23014.7993903871 54.1984444228008 8.5443700866218 34.8788603974727 5.96772552014568 346.862992947795 149.822770260536 226.739530483532 163.306393275653 0.627098808689558 96
sample_0001 2018-04-02 10 2 Tet I 1 7 586.793333333333 18.9288172043011 753383.275482 24302.686305871 48.4379660405463 7.68332681647918 32.2273214986866 5.77130086176213 173.330857901109 84.200571320339 116.518341672623 90.9241669266022 0.602108649035025 169
sample_0002 2018-04-02 10 2 Tet I 2 7 721.1 23.2612903225806 1077506.953002 34758.2888065161 52.9537310592739 7.79993573561336 33.9318696294495 5.29616914129188 255.378973945217 85.5958188418076 168.319230410448 107.684233136006 0.626296641791045 169
sample_0003 2018-04-02 10 2 Tet I 3 7 692.093333333333 22.3255913978495 1000655.41251267 32279.2068552473 52.3305925678256 7.68691585356008 33.592422425671 5.19404883307067 254.126785881298 85.5043846139857 174.470810810811 108.364464952954 0.570915915915916 169
sample_0004 2018-04-02 10 2 Tet I 4 7 757.206666666667 24.4260215053763 1090948.52829467 35191.8880095054 52.1531325439319 7.44930588207982 33.7032284194475 5.00620770142912 256.285055160432 82.7140040812802 168.78815777043 107.580607600837 0.610944733112896 169
sample_0005 2018-04-02 10 2 Tet I 5 7 704.34 22.7206451612903 1046756.638914 33766.3431907742 52.8200276595672 6.90537108481576 34.4165646046443 4.50961478595608 276.854819183255 78.5984754827224 180.345276013679 106.105356502412 0.608964338055691 169
sample_0006 2018-04-02 10 2 Tet I 6 7 720.653333333333 23.2468817204301 1062728.30660533 34281.5582775914 52.5239336282276 7.71370822979572 34.1356182664757 4.98261803377375 251.003499562622 79.4732403616663 164.991037364798 103.303671672258 0.582935103244838 169
sample_0007 2018-04-02 10 2 Tet II 1 7 585.933333333333 18.9010752688172 957479.416035333 30886.4327753333 54.9536632207358 7.65476227214865 35.9995886271556 5.13606438474481 277.573726143203 84.343162637382 149.630554202192 102.401581939869 0.668580998781973 169
sample_0008 2018-04-02 10 2 Tet II 2 7 555.113333333333 17.9068817204301 916349.133188667 29559.6494576989 55.8775806559686 7.92239893167006 36.1867291833571 5.02235404788207 294.06864220754 81.5492144810171 164.084076677316 105.255128796528 0.653277955271566 169
sample_0009 2018-04-02 10 2 Tet II 3 7 597.14 19.2625806451613 979216.429094666 31587.6267449892 55.0532818172551 7.28539343351758 36.0015376300229 5.12988367872369 286.031957117917 89.8900025561615 163.612344196684 113.581074755749 0.649405374499714 169
sample_0010 2018-04-02 10 2 Tet II 4 7 541.14 17.4561290322581 878177.739174 28328.3141669032 54.6794015096212 7.22238383910617 36.1945333938703 5.1430626918058 281.943082206871 86.8728066971671 157.330676132522 104.575921660547 0.653380662609871 169
sample_0011 2018-04-02 10 2 Tet II 5 7 557.22 17.9748387096774 898687.814108 28989.9294873548 55.184790630002 7.68306446813108 35.7538288140376 5.13010547962875 303.279655938861 85.1902829475468 166.71546319797 110.350308671002 0.660285532994924 169
sample_0012 2018-04-02 10 2 Tet II 6 7 499.373333333333 16.1088172043011 772631.915134 24923.6101656129 53.8388367229149 7.92309047493572 35.2712760808215 5.0556983559334 263.55164471043 89.1290110694924 148.412818181818 107.38623474272 0.635787878787879 169
sample_0013 2018-04-02 10 2 Tet III 1 7 446.993333333333 14.4191397849462 685152.929087333 22101.707389914 54.2571142696607 9.95024519369782 35.1620742608745 7.11146376388578 305.58875040731 127.818562455547 184.703742378049 136.769518392051 0.638353658536585 169
sample_0014 2018-04-02 10 2 Tet III 2 7 402.846666666667 12.9950537634409 577143.556696667 18617.5340869892 52.5002673358179 9.44085612103502 34.1615511504798 6.54321059045733 295.069047693612 128.96034238615 190.04488372093 139.749274454629 0.60412343470483 169
sample_0015 2018-04-02 10 2 Tet III 3 7 482.62 15.5683870967742 729354.039203333 23527.5496517204 54.0488481485372 9.15105361008493 35.0011306959047 6.3689556750799 301.956281860353 129.280031388839 183.35159611381 140.25291490962 0.631693268563498 169
sample_0016 2018-04-02 10 2 Tet III 4 7 483.82 15.6070967741935 735018.149924667 23710.2629007957 53.8460160776424 9.92100831729964 34.2969861811063 6.47793634361598 292.193234295122 128.661621045266 175.481055817081 136.92046486538 0.662279757901816 169
